Ticker,Name,Country/Region,Currency
CCSMCUG1 Index,China Shanghai Changjiang Copp,CH,CNY
PLLFLNJK Index,Platts LNG Japan/Korea Spot Cr,,USD
PSVGDAHD Index,Italy PSV Natural Gas Forward,IT,EUR
CN62SPOT Index,CH Iron Ore 62% Fe Swap Spot,CH,USD
IBWWST Index,Global Lithium-Ion Battery Pri,,USD
CRK321ST Index,Bloomberg Nymex WTI Crude Oil,US,USD
CHCNBROM Index,China Chemicals SunSirs BR Bro,CH,CNY
M4CNTSWC Index,China Manganese Ore Gabonese 4,CH,CNY
DRCRRATE Index,Drewry Hong Kong-Los Angeles C,CH,USD
RTEGNUCL Index,RTE France Generation Nuclear,FR,
RBCITOTL Index,Steelhome China Rebar Total In,CH,
FSCOM1   Index,Bloomberg Fair Value Price/ICE,GB,USD
IMM5JNCS Index,CFTC CME Japanese Yen Non-Comm,,
RSPR Index,American Iron and Steel Instit,US,
CBT42NCN Index,Bloomberg CFTC CBT 2-Yr US Tre,,
ELGBYR2  Index,Germany Power Baseload Forward,GE,EUR
CKTJJCC Index,Japan Crude Cocktail Detailed,JN,USD
WT1 Comdty,Generic 1st 'WT' Future,US,USD
CCSMAL00 Index,China Shanghai Changjiang Alum,CH,CNY
PCRUDBEB Index,Platts Dated Brent Crude Oil P,,EUR
PNG1M Comdty,Generic 1st 'PNGM'Future,DE,EUR
PLDMLNPM Index,London Metal Exchange Palladiu,GB,USD
RLCNQKNI Index,China Titanium Dioxide R TiO2,CH,USD
POLIUSGC Index,US Gulf Methanol FOB Price USd,US,USd
ELUBYR1  Index,UK Power Baseload Forward Year,GB,GBP
PLTMLNPM Index,London Metal Exchange Platinum,GB,USD
QTTF5 Comdty,TTF NAT GAS YR    Jan25,NL,EUR
SFCDTOTL Index,Shanghai Futures Exchange Copp,CH,
TFF2HAIN Index,CFTC CBT 10 Year T Notes Asst,,
DETJ4K4 Comdty,Phelix DE BL M SprJ4-K4,DE,EUR
NEXJ4M Comdty,NOMX Nordic Base  Apr24,NO,EUR
STANPLXW Index,North America Steel Plate Spot,US,USD
