Date,last_price,return,volatility_weekly,volatility_monthly,volatility_annual,T+1 return,T+3 return,T+5 return,T+10 return
2021-08-16,17.715,0.045132743362831906,0.024318003159984874,0.024074065512786163,0.05865607485190885,17.833,0.03952200524628369,0.03475687594290333,0.0970778222085511
2021-08-17,17.833,0.006661021732994543,0.023842639275688388,0.023760440576063167,0.05865426961125687,17.685,0.04336283185840695,0.04102896161996705,0.10815213985838712
2021-08-18,17.685,-0.008299220546178376,0.022623371546525384,0.02263598239080331,0.058661207395015735,16.552,-0.06565057860570145,-0.0351501020110756,0.04002513352183468
2021-08-19,16.552,-0.06406559230986708,0.039325209076659796,0.027855114239202724,0.05882392733241966,15.3,-0.14204003813155375,-0.09734513274336276,-0.05292479108635095
2021-08-20,15.3,-0.0756404059932334,0.05031091622556062,0.033251908870825894,0.05899641731043993,16.17,-0.0856658184902458,-0.08721422523285338,-0.0650477016478751
2021-08-23,16.17,0.056862745098039236,0.054187327951512765,0.03497079392110679,0.05902214942134333,16.674,0.007370710488158627,-0.06499186900689724,-0.03249390739236402
2021-08-24,16.674,0.031168831168830957,0.057836511941213566,0.03495443480447316,0.05903770154780157,17.46,0.14117647058823524,-0.012722646310432406,0.027784318342359393
2021-08-25,17.46,0.04713925872616054,0.06373526324836404,0.036002799224190064,0.059086998957936926,17.075,0.055967841682127206,0.03159739004349915,-0.004663363450889024
2021-08-26,17.075,-0.02205040091638044,0.05557364084738178,0.03635386059923339,0.05908738411830445,18.069,0.0836631881971932,0.18098039215686268,0.06601769911504429
2021-08-27,18.069,0.058213762811127445,0.033282722568680215,0.03803921306170891,0.059134564753748786,18.675,0.06958762886597936,0.15491651205936918,0.05419136325148188
2021-08-30,18.675,0.0335381039349163,0.030871130564305634,0.03801288623775983,0.05915404182126167,18.625,0.0907759882869692,0.1170085162528487,0.044412045084955
2021-08-31,18.625,-0.0026773761713521083,0.033994451055637524,0.03808937714630931,0.059155774727457984,19.66,0.08805135868061331,0.12600229095074456,0.11167656205824161
2021-09-01,19.66,0.05557046979865765,0.03566940927415732,0.03903403220591794,0.05922489437462556,19.25,0.0307898259705488,0.12737920937042468,0.16300144997583366
2021-09-02,19.25,-0.02085452695829093,0.035280975987854936,0.03913314561282606,0.059236834490495806,19.75,0.06040268456375841,0.09303226520560082,0.29084967320261423
2021-09-03,19.75,0.025974025974025983,0.030221288785917663,0.039178122414166176,0.059229682531295715,20.06,0.020345879959308144,0.07416331994645242,0.240568954854669
2021-09-06,20.06,0.01569620253164561,0.029002500984628792,0.039181508603315846,0.05922942069491865,19.85,0.03116883116883118,0.06577181208053706,0.1904761904761907
2021-09-07,19.85,-0.010468594217347804,0.030350351223237666,0.036959041220733714,0.05922909876782951,20.038,0.014582278481012567,0.019226856561546324,0.14765177548682695
2021-09-08,20.038,0.0094710327455918,0.01921374693293867,0.03687851104344983,0.059226855093917834,20.392,0.01655034895314067,0.059324675324675225,0.19426061493411417
2021-09-09,20.392,0.017666433775825885,0.0137088062123146,0.03657759267333929,0.059213508382540914,20.518,0.033652392947103316,0.038886075949367216,0.13553600088549467
2021-09-10,20.518,0.006178893683797648,0.011167103560622492,0.03658400862996207,0.05921129529966343,21.828,0.08933027248228353,0.08813559322033893,0.16883534136546174
2021-09-13,21.828,0.06384637878935573,0.027940824399299416,0.03810028946649974,0.059311613243951226,23.185,0.1369654766575128,0.1680100755667504,0.24483221476510053
2021-09-14,23.185,0.06216785779732459,0.02873994121248917,0.03899370042546563,0.05940458956299258,25.075,0.22209767033823957,0.25137239245433673,0.27543234994913535
